_id,Station ID,AQI index,Location,Station name,Url,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Data Time Tz,Status,Alert level
190,13251,180.00,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,17.00,,90.50,23.00,1.00,1020,131.00,180.00,1.00,19.00,2.50,2021-01-31T21:00:00,+07:00,Unhealthy,4
191,12976,-,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,3.00,,88.00,14.00,23.00,1020,39.00,60.00,2.00,19.00,2.50,2021-01-31T23:00:00,+07:00,No data,0
192,13250,135.00,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,30.00,,94.50,3.00,12.00,1007.8999999999999772626324556767940521240234375,65.00,135.00,22.00,17.30,22.00,2021-01-31T23:00:00,+07:00,Unhealthy for sensitive groups,3
193,5507,33.00,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,,92.70,5.00,10.00,1006.299999999999954525264911353588104248046875,17.00,33.00,-,18.40,1.00,2021-01-31T23:00:00,+07:00,Good,1
194,11778,10.00,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,5.00,,92.70,43.00,-,1006.299999999999954525264911353588104248046875,7.00,10.00,99.00,14.00,1.00,2021-01-31T22:00:00,+07:00,Good,1
195,12958,97.00,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,3.00,,88.00,30.00,5.00,1020,60.00,97.00,5.00,19.00,2.50,2021-01-31T22:00:00,+07:00,Moderate,2
196,12957,-,"21.0272212,106.0342099","Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,"",2.00,,88.00,14.00,-,1020,74.00,119.00,2.00,19.00,2.50,2021-01-31T23:00:00,+07:00,No data,0
197,13015,175.00,"21.03982,105.84726","Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,41.00,,90.50,40.00,-,1020,121.00,175.00,-,19.00,2.50,2021-01-31T21:00:00,+07:00,Unhealthy,4
198,13018,140.00,"20.98832,105.854897","Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,5.00,,90.50,19.00,-,1020,71.00,140.00,-,19.00,2.50,2021-01-31T21:00:00,+07:00,Unhealthy for sensitive groups,3
199,13019,140.00,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,9.00,,90.50,24.00,-,1020,82.00,140.00,-,19.00,2.50,2021-01-31T21:00:00,+07:00,Unhealthy for sensitive groups,3
200,13026,184.00,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,8.00,,93.00,21.00,1.00,1019,111.00,184.00,1.00,19.00,2.30,2021-01-31T20:00:00,+07:00,Unhealthy,4
201,1584,-,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,"",7.00,,88.00,1.00,10.00,1018.5,-,-,6.00,21.00,0.20,2021-01-31T23:00:00,+07:00,No data,0
202,1585,-,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,"",3.00,,78.00,11.00,19.00,1017,-,-,4.00,23.00,3.60,2021-01-31T23:00:00,+07:00,No data,0
203,13017,179.00,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,14.00,,90.50,23.00,-,1020,132.00,179.00,-,19.00,2.50,2021-01-31T21:00:00,+07:00,Unhealthy,4
204,13020,159.00,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,7.00,,90.50,12.00,-,1020,88.00,159.00,-,19.00,2.50,2021-01-31T21:00:00,+07:00,Unhealthy,4
205,13013,183.00,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,19.00,,90.50,28.00,-,1020,132.00,183.00,-,19.00,2.50,2021-01-31T21:00:00,+07:00,Unhealthy,4
206,13014,150.00,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,7.00,,90.50,-,-,1020,78.00,150.00,-,19.00,2.50,2021-01-31T21:00:00,+07:00,Unhealthy for sensitive groups,3
207,13252,177.00,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm25,-,,97.50,-,1.00,990.90,117.00,177.00,1.00,16.30,1.00,2021-01-31T23:00:00,+07:00,Unhealthy,4
